# File Name: D:\q37_U64_16s_Phagemid.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: QS3RTPCR_Stadler
# Instrument Serial Number: 272310264
# Heated Cover Serial Number:
# Block serial number: 38161665
# Run Start Date/Time: 2024-07-16 04:10:29 PM CDT
# Run End Data/Time: 2024-07-16 05:00:04 PM CDT
# Run Duration: 49 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-07-16 05:14:20 PM CDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-07-16 05:15:22 PM CDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","Cf - 64","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2365864696884121","","","25.075663464976394","0.9759012642256625","24.745233120867592","0.29955643137269045","FALSE","0.1111323","TRUE","3","20"
"1","A1","FALSE","Cf - 64","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","39"
"2","A2","FALSE","Cf - 64","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2476968710535021","","","24.668595013258866","0.9787553482481318","24.745233120867592","0.29955643137269045","FALSE","0.1111323","TRUE","3","20"
"2","A2","FALSE","Cf - 64","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.5976071924980076","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","35"
"3","A3","FALSE","Cf - 64","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2563884822478906","","","24.491440884367513","0.9772775570278738","24.745233120867592","0.29955643137269045","FALSE","0.1111323","TRUE","3","20"
"3","A3","FALSE","Cf - 64","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.43566642140183914","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","35"
"4","A4","FALSE","Ec - Control","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","INCONCLUSIVE","0.9883603278308827","","","37.66607040111728","0.9096180830431713","37.65089120588697","0.021466623759674053","FALSE","0.1111323","TRUE","3","33"
"4","A4","FALSE","Ec - Control","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","39"
"5","A5","FALSE","ntc","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.1111323","TRUE","3","39"
"5","A5","FALSE","ntc","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","39"
"7","A7","FALSE","Cf - 64","16s","UNKNOWN","SYBR","None","AMP","1.2461816651169235","","","4.31049523604328","0.9078308779980212","4.7672060517831865","0.5043295024177773","FALSE","0.09808","TRUE","3","3"
"8","A8","FALSE","Cf - 64","16s","UNKNOWN","SYBR","None","AMP","1.2487708469702066","","","5.308466669099382","0.915357713733248","4.7672060517831865","0.5043295024177773","FALSE","0.09808","TRUE","3","3"
"9","A9","FALSE","Cf - 64","16s","UNKNOWN","SYBR","None","AMP","1.2376543347612727","","","4.6826562502068985","0.9220581491501995","4.7672060517831865","0.5043295024177773","FALSE","0.09808","TRUE","3","3"
"10","A10","FALSE","Ec - Control","16s","UNKNOWN","SYBR","None","AMP","1.2539147190510471","","","5.711544449782994","0.913845083686407","5.356436385611052","0.36710678866285784","FALSE","0.09808","TRUE","3","3"
